,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
b_offset13[25],0.221,0.975,-1.508,2.169,0.022,0.017,1974.0,2543.0,1.0
b_offset13[26],-0.024,0.964,-1.811,1.791,0.019,0.015,2638.0,2615.0,1.0
b_offset13[27],-0.012,0.954,-1.886,1.695,0.02,0.016,2181.0,1882.0,1.0
b_offset13[28],0.063,0.976,-1.782,1.872,0.02,0.016,2327.0,2513.0,1.0
b_offset13[29],-0.137,0.937,-1.872,1.592,0.02,0.015,2150.0,1678.0,1.0
b_offset13[30],0.113,0.974,-1.737,1.924,0.018,0.015,2981.0,2663.0,1.0
b_offset13[31],0.083,0.991,-1.784,1.923,0.021,0.017,2175.0,2189.0,1.0
b_offset13[32],-0.037,0.959,-1.751,1.842,0.021,0.015,2108.0,2580.0,1.0
b_offset13[33],-0.028,0.974,-1.866,1.778,0.021,0.015,2105.0,2290.0,1.0
mu_b14,0.188,0.047,0.1,0.275,0.006,0.004,57.0,528.0,1.06
b_offset14[0],0.052,0.963,-1.786,1.789,0.02,0.015,2386.0,2654.0,1.0
b_offset14[1],-0.032,0.979,-1.806,1.879,0.024,0.017,1718.0,2196.0,1.0
b_offset14[2],0.246,0.967,-1.512,2.059,0.019,0.015,2511.0,2604.0,1.0
b_offset14[3],-0.02,0.964,-1.73,1.885,0.02,0.015,2387.0,2581.0,1.0
b_offset14[4],0.167,0.984,-1.717,2.017,0.021,0.017,2188.0,2073.0,1.0
