,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
b11[2013-2014],-0.238,0.406,-1.032,0.526,0.087,0.062,22.0,76.0,1.13
b11[2014-2015],-0.201,0.411,-0.948,0.633,0.083,0.059,24.0,96.0,1.12
b11[2015-2016],-0.148,0.406,-0.937,0.61,0.09,0.065,20.0,100.0,1.14
b11[2016-2017],-0.094,0.394,-0.764,0.734,0.095,0.068,18.0,60.0,1.16
b11[2017-2018],0.031,0.419,-0.717,0.845,0.11,0.079,15.0,63.0,1.18
b11[2018-2019],-0.081,0.412,-0.852,0.746,0.106,0.076,16.0,68.0,1.18
b11[2019-2020],0.225,0.51,-0.619,1.179,0.135,0.098,14.0,84.0,1.2
b11[2020-2021],0.101,0.462,-0.655,1.029,0.123,0.089,14.0,91.0,1.2
b11[2021-2022],-0.082,0.393,-0.8,0.671,0.104,0.075,14.0,57.0,1.2
mu_b12,0.166,0.137,-0.087,0.43,0.048,0.035,8.0,29.0,1.42
b12[1988-1989],0.187,0.194,-0.168,0.562,0.047,0.034,17.0,153.0,1.16
b12[1989-1990],0.152,0.208,-0.238,0.538,0.047,0.034,19.0,105.0,1.14
b12[1990-1991],0.191,0.193,-0.154,0.571,0.044,0.031,19.0,395.0,1.14
b12[1991-1992],0.021,0.218,-0.412,0.394,0.043,0.031,23.0,70.0,1.13
b12[1992-1993],0.03,0.228,-0.406,0.445,0.044,0.031,23.0,65.0,1.13
b12[1993-1994],0.086,0.221,-0.349,0.498,0.043,0.031,22.0,155.0,1.13
b12[1994-1995],0.053,0.212,-0.339,0.453,0.04,0.028,25.0,56.0,1.12
b12[1995-1996],0.082,0.208,-0.331,0.457,0.048,0.034,18.0,42.0,1.16
b12[1996-1997],0.178,0.185,-0.158,0.546,0.047,0.034,15.0,138.0,1.19
b12[1997-1998],0.174,0.196,-0.163,0.579,0.049,0.036,16.0,94.0,1.17
b12[1998-1999],0.25,0.189,-0.081,0.631,0.048,0.035,15.0,218.0,1.19
b12[1999-2000],0.14,0.21,-0.249,0.524,0.05,0.036,17.0,67.0,1.17
b12[2000-2001],0.26,0.21,-0.115,0.665,0.054,0.039,14.0,224.0,1.2
b12[2001-2002],0.271,0.21,-0.124,0.653,0.053,0.039,15.0,330.0,1.19
b12[2002-2003],0.227,0.208,-0.128,0.642,0.054,0.039,14.0,176.0,1.2
b12[2003-2004],0.141,0.191,-0.215,0.499,0.046,0.033,17.0,88.0,1.16
b12[2004-2005],0.179,0.199,-0.188,0.564,0.049,0.035,16.0,156.0,1.17
b12[2005-2006],0.264,0.215,-0.097,0.714,0.055,0.039,15.0,196.0,1.19
b12[2006-2007],0.207,0.194,-0.154,0.581,0.045,0.032,18.0,386.0,1.15
b12[2007-2008],0.173,0.199,-0.202,0.548,0.049,0.035,16.0,144.0,1.18
b12[2008-2009],0.202,0.206,-0.173,0.615,0.048,0.035,18.0,268.0,1.15
b12[2009-2010],0.235,0.206,-0.165,0.612,0.056,0.04,14.0,309.0,1.21
b12[2010-2011],0.204,0.203,-0.162,0.598,0.05,0.036,16.0,133.0,1.17
b12[2011-2012],0.131,0.199,-0.262,0.501,0.046,0.033,17.0,76.0,1.16
b12[2012-2013],0.189,0.189,-0.152,0.582,0.047,0.034,16.0,126.0,1.17
b12[2013-2014],0.114,0.198,-0.245,0.502,0.047,0.034,17.0,108.0,1.17
b12[2014-2015],0.213,0.181,-0.135,0.536,0.053,0.038,12.0,56.0,1.25
b12[2015-2016],0.138,0.182,-0.225,0.462,0.045,0.033,16.0,75.0,1.18
b12[2016-2017],0.207,0.195,-0.148,0.568,0.047,0.034,16.0,313.0,1.17
b12[2017-2018],0.187,0.198,-0.197,0.561,0.048,0.035,16.0,204.0,1.17
b12[2018-2019],0.042,0.211,-0.38,0.425,0.044,0.031,21.0,42.0,1.14
b12[2019-2020],0.172,0.187,-0.193,0.512,0.045,0.032,17.0,186.0,1.16
b12[2020-2021],0.172,0.185,-0.194,0.508,0.045,0.032,17.0,118.0,1.16
b12[2021-2022],0.138,0.194,-0.235,0.496,0.044,0.031,19.0,155.0,1.15
mu_b13,0.113,0.037,0.049,0.19,0.01,0.008,14.0,56.0,1.22
b13[1988-1989],0.112,0.041,0.039,0.196,0.01,0.007,18.0,65.0,1.16
